method,target,year,donors_used,n_models,rmse,runtime_sec
G_XGBoost,35,2017,"36,37,34,31,28,27,29",7,2.9298433372967496,0.8050391674041748
G_XGBoost,35,2018,"36,37,34,31,28,27,29",7,4.0749521853032284,0.7933666706085205
G_XGBoost,36,2017,"37,35,34,31,28,29,27",7,2.4511911075434347,0.7976455688476562
G_XGBoost,36,2018,"37,35,34,31,28,29,27",7,3.4583247882093007,0.7985653877258301
G_XGBoost,37,2017,"36,35,31,34,32,28,29",7,4.533924434014,0.787346601486206
G_XGBoost,37,2018,"36,35,31,34,32,28,29",7,3.777841804504736,0.7882962226867676
G_XGBoost,38,2017,"39,41,40,43,42,44,37",7,5.9256457672257765,0.8334145545959473
G_XGBoost,38,2018,"39,41,40,43,42,44,37",7,6.831926575923003,0.8355221748352051
G_XGBoost,39,2017,"38,41,40,42,43,44,37",7,3.5066872652315544,0.7564208507537842
G_XGBoost,39,2018,"38,41,40,42,43,44,37",7,6.109496171987915,0.7590494155883789
G_XGBoost,40,2017,"41,39,42,38,43,44,37",7,4.696677170365323,0.7447330951690674
G_XGBoost,40,2018,"41,39,42,38,43,44,37",7,6.1221891847663406,0.7471940517425537
G_XGBoost,41,2017,"40,42,39,43,44,38,37",7,4.800024058684605,0.7532758712768555
G_XGBoost,41,2018,"40,42,39,43,44,38,37",7,4.931299155611836,0.7526888847351074
G_XGBoost,42,2017,"43,41,44,40,39,38,33",7,3.0532487908406423,0.7839596271514893
G_XGBoost,42,2018,"43,41,44,40,39,38,33",7,3.2155072514810614,0.784395694732666
G_XGBoost,43,2017,"44,42,41,39,40,38,33",7,3.1764982635290693,0.7702057361602783
G_XGBoost,43,2018,"44,42,41,39,40,38,33",7,4.878245119166819,0.770777702331543
G_XGBoost,44,2017,"43,42,41,39,40,38,33",7,5.517752495886877,0.7670140266418457
G_XGBoost,44,2018,"43,42,41,39,40,38,33",7,6.427554195238188,0.7637267112731934
G_XGBoost,45,2017,"46,13,12,23,47,11,24",7,3.0816369332320583,0.7770786285400391
G_XGBoost,45,2018,"46,13,12,23,47,11,24",7,3.2397944684398072,0.7787959575653076
G_XGBoost,46,2017,"47,45,48,14,24,23,25",7,4.051242484088527,0.8033185005187988
G_XGBoost,46,2018,"47,45,48,14,24,23,25",7,3.2283404746520494,0.8024859428405762
G_XGBoost,47,2017,"48,46,14,45,15,49,25",7,2.7369872418835053,0.7391254901885986
G_XGBoost,48,2017,"47,49,46,50,15,16,14",7,3.6743306586261237,0.7592382431030273
